,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
9898,20 December 2020,Battles,Mali,Sikasso,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
10390,19 December 2020,Explosions/Remote violence,Mali,Mopti,Military Forces of France (2017-),Katiba Serma,,JNIM: Group for Support of Islam and Muslims
11112,18 December 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
11737,17 December 2020,Protests,Mali,Gao,Protesters (Mali),,,
11741,17 December 2020,Protests,Mali,Mopti,Protesters (Mali),,,
11744,17 December 2020,Violence against civilians,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Bambara Ethnic Group (Mali); Farmers (Mali)
11747,17 December 2020,Protests,Mali,Mopti,Protesters (Mali),,,
11750,17 December 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
11753,17 December 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
11941,16 December 2020,Violence against civilians,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Bambara Ethnic Group (Mali); Women (Mali); Farmers (Mali)
12351,16 December 2020,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,Platform of June 14th 2014 movements
12352,16 December 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Police Forces of Mali (2020-) Gendarmerie,,Police Forces of Mali (2020-)
12939,15 December 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2020-),,
14077,13 December 2020,Violence against civilians,Mali,Tombouctou,Islamic State (Greater Sahara),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
14224,13 December 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
14374,12 December 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
15017,12 December 2020,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
15035,12 December 2020,Protests,Mali,Tombouctou,Protesters (Mali),,CMI: Coordination of Inclusivity Movements,
15050,12 December 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
15202,11 December 2020,Battles,Mali,Gao,Military Forces of Mali (2020-),Islamic State (Greater Sahara),,
15756,11 December 2020,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
15758,11 December 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),Bambara Ethnic Militia (Mali),
16509,10 December 2020,Explosions/Remote violence,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
16512,10 December 2020,Strategic developments,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali)
17200,09 December 2020,Explosions/Remote violence,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
17201,09 December 2020,Strategic developments,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Labour Group (Mali)
17207,09 December 2020,Battles,Mali,Mopti,Katiba Macina,Dan Na Ambassagou,JNIM: Group for Support of Islam and Muslims,
17211,09 December 2020,Strategic developments,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Arab Ethnic Group (Mali)
17216,09 December 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
18596,07 December 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
18639,07 December 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
18640,07 December 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Military Forces of Mali (2020-)
19208,06 December 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Benin),,Christian Group (Benin)
19238,06 December 2020,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Group (Mali); Labour Group (Mali)
19242,06 December 2020,Violence against civilians,Mali,Segou,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Bambara Ethnic Group (Mali); Farmers (Mali)
19925,05 December 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Government of Mali (2020-)
20380,04 December 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,Military Forces of France (2017-)
20609,04 December 2020,Strategic developments,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
20749,03 December 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
21022,03 December 2020,Protests,Mali,Bamako,Protesters (Mali),,Labour Group (Mali),
21024,03 December 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
21029,03 December 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
21733,02 December 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali); Muslim Group (Mali)
21735,02 December 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali); Muslim Group (Mali)
22161,01 December 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
22309,01 December 2020,Protests,Mali,Bamako,Protesters (Mali),,Students (Mali),
22471,01 December 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
23065,30 November 2020,Battles,Mali,Bamako,Militia (Students),Militia (Students),,
23083,30 November 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
23088,30 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
23089,30 November 2020,Explosions/Remote violence,Mali,Menaka,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
23092,30 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali)
23527,29 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
23660,29 November 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
24202,28 November 2020,Strategic developments,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
24242,28 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
24918,27 November 2020,Violence against civilians,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Teachers (Mali)
25631,26 November 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali)
25700,26 November 2020,Violence against civilians,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Farmers (Mali)
26448,25 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
26528,25 November 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
26869,25 November 2020,Violence against civilians,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Banga Communal Group (Mali)
27769,23 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali); Tuareg Ethnic Group (Mali)
27777,23 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Fulani Ethnic Militia (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
27895,23 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
28205,23 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
28386,22 November 2020,Violence against civilians,Mali,Gao,Ganda Izo,Civilians (Mali),CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme),
28400,22 November 2020,Violence against civilians,Mali,Kayes,Unidentified Armed Group (Mali),Civilians (Mali),,Civilians (Mauritania); Labour Group (Mali); Labour Group (Mauritania)
28405,22 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
28422,22 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
28573,22 November 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),Ganda Izo,,CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme)
29586,20 November 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
29607,20 November 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
30173,19 November 2020,Violence against civilians,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Farmers (Mali)
30235,19 November 2020,Battles,Mali,Sikasso,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
30265,19 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
30306,19 November 2020,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Unidentified Military Forces,,
30840,19 November 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Arab Ethnic Group (Mali); Labour Group (Mali)
31095,18 November 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
31539,17 November 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali); Doma Communal Group (Mali)
31548,17 November 2020,Strategic developments,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
31554,17 November 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
31592,17 November 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali); Mbana Communal Group (Mali)
31598,17 November 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali); Dioungani Communal Group (Mali)
31661,17 November 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
31723,17 November 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),
31733,17 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
32153,16 November 2020,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of France (2017-),,
32197,16 November 2020,Riots,Mali,Menaka,Rioters (Mali),Civilians (Mali),,Teachers (Mali)
32310,16 November 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
32311,16 November 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,
32419,16 November 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
32837,15 November 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
32841,15 November 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
32862,15 November 2020,Protests,Mali,Mopti,Protesters (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali),
33250,14 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
33257,14 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-)
33299,14 November 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
33352,14 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
33355,14 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
33357,14 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
33435,14 November 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
33436,14 November 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
33763,14 November 2020,Violence against civilians,Mali,Menaka,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali)
33902,13 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
33913,13 November 2020,Strategic developments,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Labour Group (Mali)
34037,13 November 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
34044,13 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dozo Communal Militia (Mali),,
34058,13 November 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
34388,13 November 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
34481,13 November 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
34487,13 November 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
34669,12 November 2020,Battles,Mali,Segou,Bambara Ethnic Militia (Mali),Fulani Ethnic Militia (Mali),,Pastoralists (Mali)
34678,12 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
34763,12 November 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
34768,12 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dan Na Ambassagou,,
34863,12 November 2020,Riots,Mali,Menaka,Rioters (Mali),Civilians (Mali),,
34904,12 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
35056,12 November 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
35308,11 November 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
35490,11 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
35498,11 November 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
35767,11 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
36186,10 November 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali); Labour Group (Mali)
36262,10 November 2020,Protests,Mali,Mopti,Protesters (Mali),,,
36349,10 November 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,,,
36478,10 November 2020,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
36485,10 November 2020,Battles,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
36884,09 November 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Muslim Group (Mali); Students (Mali)
37588,08 November 2020,Strategic developments,Mali,Menaka,Islamic State (Greater Sahara),Civilians (Mali),,
37950,08 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
38960,06 November 2020,Violence against civilians,Mali,Kayes,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
38961,06 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Aid Workers (Mali)
39029,06 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
39248,06 November 2020,Battles,Mali,Gao,Military Forces of France (2017-),Ansaroul Islam,,Katiba Gourma; JNIM: Group for Support of Islam and Muslims
39318,06 November 2020,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
39657,05 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Health Workers (Mali)
39953,05 November 2020,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
40526,04 November 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
40530,04 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
40581,04 November 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
40669,04 November 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Farmers (Mali)
40899,04 November 2020,Protests,Mali,Segou,Protesters (Mali),,Muslim Group (Mali),
40967,04 November 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dan Na Ambassagou,,
41211,03 November 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
41218,03 November 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
41346,03 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
41574,03 November 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
41576,03 November 2020,Violence against civilians,Mali,Koulikoro,Unidentified Armed Group (Mali),Civilians (Mali),,
41579,03 November 2020,Riots,Mali,Kidal,Rioters (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),Muslim Group (Mali),Military Forces of France (2017-)
41675,03 November 2020,Strategic developments,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Government of Mali (2020-)
41847,02 November 2020,Riots,Mali,Kidal,Rioters (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
41851,02 November 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
